,출원번호,출원일,등록번호,등록일
190,17/931753,2022-09-13, , 
191,17/853224,2022-06-29, , 
192,17/726747,2022-04-22,11543885,2023-01-03
193,16/656374,2019-10-17,11544282,2023-01-03
194,17/086303,2020-10-30,11544343,2023-01-03
195,17/086297,2020-10-30,11544904,2023-01-03
196,17/175353,2021-02-12,11544911,2023-01-03
197,17/086319,2020-10-30,11546437,2023-01-03
198,17/939613,2022-09-07, , 
199,17/793301,2021-01-04, , 
200,17/361667,2021-06-29, , 
201,17/853745,2022-06-29, , 
202,17/822729,2022-08-26, , 
203,17/357823,2021-06-24, , 
204,17/357298,2021-06-24, , 
205,17/847414,2022-06-23, , 
206,17/897741,2022-08-29, , 
207,17/360377,2021-06-28, , 
208,17/505311,2021-10-19, , 
209,17/741979,2022-05-11, , 
210,17/355968,2021-06-23, , 
211,17/848552,2022-06-24, , 
212,17/845428,2022-06-21, , 
213,17/438214,2021-06-25, , 
214,17/304816,2021-06-25, , 
215,17/352105,2021-06-18, , 
216,17/777950,2020-11-10, , 
217,17/277869,2020-12-22, , 
218,17/277941,2020-12-22, , 
219,17/352920,2021-06-21, , 
220,17/353080,2021-06-21, , 
221,17/487609,2021-09-28, , 
222,17/487858,2021-09-28, , 
223,17/354917,2021-06-22, , 
224,17/843479,2022-06-17, , 
225,17/821451,2022-08-22, , 
226,17/500817,2021-10-13, , 
227,17/348916,2021-06-16, , 
228,17/353286,2021-06-21, , 
229,16/843261,2020-04-08,11529105,2022-12-20
230,16/232367,2018-12-26,11531901,2022-12-20
231,16/232437,2018-12-26,11531970,2022-12-20
232,17/180453,2021-02-19,11532124,2022-12-20
233,17/323775,2021-05-18,11532139,2022-12-20
234,17/239794,2021-04-26,11533192,2022-12-20
235,16/609427,2017-05-05,11533251,2022-12-20
236,17/320199,2021-05-13,11533351,2022-12-20
237,17/836202,2022-06-09, , 
238,17/852186,2022-06-28, , 
239,17/838521,2022-06-13, , 
240,17/670050,2022-02-11, , 
241,17/748250,2022-05-19, , 
242,17/762717,2020-09-22, , 
