,출원번호,출원일,등록번호,등록일
1365,16/232465,2018-12-26,10838797,2020-11-17
1366,16/880893,2020-05-21,10839615,2020-11-17
1367,16/521574,2019-07-24,10839621,2020-11-17
1368,16/869388,2020-05-07, , 
1369,16/868050,2020-05-06, , 
1370,16/960664,2019-01-11, , 
1371,15/709259,2017-09-19,10831890,2020-11-10
1372,16/233194,2018-12-27,10834445,2020-11-10
1373,16/376857,2019-04-05,10825237,2020-11-03
1374,16/108742,2018-08-22,10826932,2020-11-03
1375,16/396805,2019-04-29, , 
1376,16/258188,2019-01-25,10816341,2020-10-27
1377,16/258252,2019-01-25,10817050,2020-10-27
1378,15/819516,2017-11-21,10810683,2020-10-20
1379,16/558279,2019-09-02,10812992,2020-10-20
1380,16/091319,2017-04-05, , 
1381,16/380339,2019-04-10, , 
1382,16/380363,2019-04-10, , 
1383,15/878463,2018-01-24,10795457,2020-10-06
1384,16/456525,2019-06-28,10798175,2020-10-06
1385,16/902003,2020-06-15, , 
1386,16/754732,2018-10-23, , 
1387,15/994840,2018-05-31,10789764,2020-09-29
1388,16/819847,2020-03-16, , 
1389,16/825396,2020-03-20, , 
1390,16/358035,2019-03-19, , 
1391,15/918081,2018-03-12,10782668,2020-09-22
1392,16/273731,2019-02-12,10782858,2020-09-22
1393,16/261058,2019-01-29,10783714,2020-09-22
1394,16/886975,2020-05-29, , 
1395,16/886999,2020-05-29, , 
1396,16/761195,2018-10-23, , 
1397,16/761201,2018-10-23, , 
1398,16/761211,2018-10-23, , 
1399,16/879758,2020-05-21,10776989,2020-09-15
1400,16/152034,2018-10-04,10778727,2020-09-15
1401,16/635694,2018-08-07, , 
1402,16/812027,2020-03-06, , 
1403,16/812089,2020-03-06, , 
1404,16/818505,2020-03-13, , 
1405,16/284766,2019-02-25,10767997,2020-09-08
1406,15/454144,2017-03-09,10771495,2020-09-08
1407,16/153266,2018-10-05,10761516,2020-09-01
1408,16/217991,2018-12-12,10761694,2020-09-01
1409,15/052992,2016-02-25,10762475,2020-09-01
1410,16/398988,2019-04-30,10762584,2020-09-01
1411,16/152201,2018-10-04,10762678,2020-09-01
1412,16/129365,2018-09-12,10764149,2020-09-01
1413,16/285771,2019-02-26, , 
1414,15/931311,2020-05-13, , 
1415,15/831549,2017-12-05,10752269,2020-08-25
1416,16/599958,2019-10-11,10757528,2020-08-25
1417,16/869638,2020-05-08, , 
1418,15/991650,2018-05-29,10746015,2020-08-18
1419,16/155274,2018-10-09,10746538,2020-08-18
1420,16/129532,2018-09-12,10740918,2020-08-11
1421,15/631963,2017-06-23,10740973,2020-08-11
1422,16/783974,2020-02-06, , 
1423,16/741554,2020-01-13, , 
1424,16/173640,2018-10-29,10718200,2020-07-21
1425,15/823130,2017-11-27,10719092,2020-07-21
1426,16/741470,2020-01-13, , 
1427,16/263934,2019-01-31, , 
1428,16/009623,2018-06-15,10706629,2020-07-07
1429,16/775150,2020-01-28,10707578,2020-07-07
1430,16/726686,2019-12-24, , 
1431,16/724891,2019-12-23, , 
1432,16/704641,2019-12-05, , 
1433,16/051335,2018-07-31,10692299,2020-06-23
1434,16/361141,2019-03-21,10685481,2020-06-16
1435,14/801826,2015-07-17,10685488,2020-06-16
1436,15/829558,2017-12-01,10686687,2020-06-16
1437,16/213104,2018-12-07, , 
1438,16/704495,2019-12-05, , 
1439,16/169061,2018-10-24,10679401,2020-06-09
1440,16/697619,2019-11-27, , 
1441,16/701816,2019-12-03, , 
1442,16/266274,2019-02-04,10665032,2020-05-26
1443,16/666944,2019-10-29,10665037,2020-05-26
1444,16/673738,2019-11-04, , 
1445,16/311019,2018-11-27, , 
1446,16/008982,2018-06-14,10642369,2020-05-05
1447,16/701969,2019-12-03,10643366,2020-05-05
1448,16/105149,2018-08-20,10643548,2020-05-05
1449,16/427625,2019-05-31,10645522,2020-05-05
1450,16/684135,2019-11-14, , 
1451,16/175306,2018-10-30, , 
1452,16/493452,2018-03-16, , 
1453,16/726116,2019-12-23, , 
1454,16/289623,2019-02-28,10634912,2020-04-28
1455,16/578331,2019-09-21,10637142,2020-04-28
1456,16/723301,2019-12-20, , 
1457,16/165333,2018-10-19, , 
1458,16/135800,2018-09-19,10628964,2020-04-21
1459,16/008888,2018-06-14,10630810,2020-04-21
1460,16/160059,2018-10-15, , 
1461,15/936870,2018-03-27,10620612,2020-04-14
1462,16/583465,2019-09-26, , 
1463,16/577516,2019-09-20, , 
1464,16/703089,2019-12-04, , 
1465,16/009057,2018-06-14,10606364,2020-03-31
1466,16/662676,2019-10-24,10607084,2020-03-31
1467,16/073052,2017-02-08,10609622,2020-03-31
1468,16/577207,2019-09-20, , 
1469,16/311033,2018-11-02, , 
1470,16/136257,2018-09-20, , 
1471,16/141938,2018-09-25, , 
1472,16/554424,2019-08-28, , 
1473,16/105083,2018-08-20,10599381,2020-03-24
1474,16/470666,2017-01-16, , 
1475,16/009087,2018-06-14,10592002,2020-03-17
1476,16/113595,2018-08-27,10592397,2020-03-17
1477,16/125379,2018-09-07, , 
1478,16/557342,2019-08-30, , 
1479,16/551781,2019-08-27, , 
1480,16/009029,2018-06-14,10579153,2020-03-03
1481,15/833693,2017-12-06,10581893,2020-03-03
1482,16/105128,2018-08-20,10581940,2020-03-03
1483,15/709176,2017-09-19,10572659,2020-02-25
1484,16/054975,2018-08-03,10573081,2020-02-25
1485,15/805272,2017-11-07,10564993,2020-02-18
1486,16/270909,2019-02-08,10555689,2020-02-11
1487,16/545930,2019-08-20, , 
1488,16/552910,2019-08-27, , 
1489,16/287383,2019-02-27,10539644,2020-01-21
1490,16/243924,2019-01-09,10540812,2020-01-21
1491,16/508512,2019-07-11, , 
1492,16/552879,2019-08-27, , 
1493,16/216531,2018-12-11,10535172,2020-01-14
1494,15/634828,2017-06-27,10536273,2020-01-14
1495,16/554390,2019-08-28, , 
1496,15/718750,2017-09-28,10524760,2020-01-07
1497,15/620428,2017-06-12,10530696,2020-01-07
1498,16/557960,2019-08-30, , 
1499,16/448652,2019-06-21, , 
1500,16/008831,2018-06-14,10521964,2019-12-31
1501,15/830338,2017-12-04,10522854,2019-12-31
1502,16/552650,2019-08-27, , 
1503,15/631871,2017-06-23,10514757,2019-12-24
1504,16/218473,2018-12-12,10516959,2019-12-24
1505,16/554438,2019-08-28, , 
1506,16/554445,2019-08-28, , 
1507,16/554379,2019-08-28, , 
1508,16/552847,2019-08-27, , 
1509,16/552662,2019-08-27, , 
1510,16/556098,2019-08-29, , 
1511,16/554412,2019-08-28, , 
1512,16/549815,2019-08-23, , 
1513,16/554276,2019-08-28, , 
1514,16/545582,2019-08-20, , 
1515,16/549282,2019-08-23, , 
1516,15/385438,2016-12-20,10503162,2019-12-10
1517,16/545603,2019-08-20, , 
1518,16/477241,2018-01-23, , 
1519,16/429024,2019-06-02, , 
1520,16/392414,2019-04-23, , 
1521,15/984204,2018-05-18, , 
1522,16/197064,2018-11-20,10482677,2019-11-19
1523,16/126289,2018-09-10,10484811,2019-11-19
1524,16/105167,2018-08-20,10475415,2019-11-12
1525,16/450123,2019-06-24, , 
1526,15/782252,2017-10-12,10469968,2019-11-05
1527,15/303340,2015-04-13,10452366,2019-10-22
1528,15/604376,2017-05-24,10454691,2019-10-22
1529,15/952654,2018-04-13, , 
1530,16/392404,2019-04-23, , 
1531,16/104730,2018-08-17,10446119,2019-10-15
1532,15/485982,2017-04-12,10447606,2019-10-15
1533,15/946638,2018-04-05, , 
1534,15/146398,2016-05-04,10431005,2019-10-01
1535,15/928053,2018-03-21, , 
1536,15/928049,2018-03-21, , 
1537,15/925070,2018-03-19, , 
1538,15/284571,2016-10-04,10416614,2019-09-17
1539,15/618019,2017-06-08,10417425,2019-09-17
1540,15/721243,2017-09-29,10409706,2019-09-10
1541,16/387170,2019-04-17,10410182,2019-09-10
1542,16/290461,2019-03-01, , 
1543,15/243417,2016-08-22,10404569,2019-09-03
1544,15/908768,2018-02-28, , 
1545,15/902027,2018-02-22, , 
1546,15/902160,2018-02-22, , 
1547,15/642691,2017-07-06,10369323,2019-08-06
1548,15/883895,2018-01-30, , 
1549,16/018649,2018-06-26, , 
1550,15/321317,2015-06-24,10316566,2019-06-11
1551,15/070163,2016-03-15,10319051,2019-06-11
1552,15/791058,2017-10-23,10320827,2019-06-11
1553,15/978832,2018-05-14, , 
1554,15/655762,2017-07-20,10304239,2019-05-28
1555,15/820730,2017-11-22, , 
1556,16/190822,2018-11-14, , 
1557,15/809774,2017-11-10, , 
1558,16/151133,2018-10-03, , 
1559,15/805350,2017-11-07, , 
1560,16/184850,2018-11-08, , 
1561,15/805201,2017-11-07, , 
1562,16/169076,2018-10-24, , 
1563,15/264028,2016-09-13,10262143,2019-04-16
1564,16/149738,2018-10-02, , 
1565,16/018232,2018-06-26, , 
1566,15/862044,2018-01-04,10242193,2019-03-26
1567,13/075572,2011-03-30,10244500,2019-03-26
1568,15/711786,2017-09-21, , 
1569,16/037660,2018-07-17,10198843,2019-02-05
1570,15/918787,2018-03-12, , 
1571,15/263045,2016-09-12,10185833,2019-01-22
1572,15/635761,2017-06-28, , 
1573,15/635805,2017-06-28, , 
1574,16/025271,2018-07-02, , 
1575,15/139161,2016-04-26,10169612,2019-01-01
1576,15/429900,2017-02-10,10148686,2018-12-04
1577,15/087416,2016-03-31,10139376,2018-11-27
1578,14/961216,2015-12-07,10142375,2018-11-27
1579,15/439102,2017-02-22,10129022,2018-11-13
1580,15/810358,2017-11-13,10119810,2018-11-06
1581,15/957247,2018-04-19, , 
1582,14/160337,2014-01-21,10087910,2018-10-02
1583,15/933379,2018-03-23, , 
1584,15/349120,2016-11-11,10061635,2018-08-28
1585,15/435812,2017-02-17, , 
1586,15/945670,2018-04-04, , 
1587,15/379635,2016-12-15,10044420,2018-08-07
1588,15/863663,2018-01-05, , 
1589,15/324551,2014-07-07, , 
1590,15/882541,2018-01-29, , 
1591,14/964677,2015-12-10,9995278,2018-06-12
1592,15/813107,2017-11-14, , 
1593,15/570403,2016-05-06, , 
1594,14/744595,2015-06-19,9947139,2018-04-17
1595,14/317321,2014-06-27,9942245,2018-04-10
1596,14/660278,2015-03-17,9942262,2018-04-10
1597,14/984219,2015-12-30,9933957,2018-04-03
1598,15/267292,2016-09-16, , 
1599,15/695774,2017-09-05, , 
1600,15/397273,2017-01-03,9910980,2018-03-06
1601,15/431810,2017-02-14,9912548,2018-03-06
1602,15/584404,2017-05-02,9897127,2018-02-20
1603,15/556136,2016-03-04, , 
1604,15/226374,2016-08-02, , 
1605,15/438866,2017-02-22,9881430,2018-01-30
1606,15/207449,2016-07-11, , 
1607,15/540453,2015-04-22, , 
1608,14/428566,2014-09-17,9838264,2017-12-05
1609,13/508462,2010-11-08,9814003,2017-11-07
1610,15/087217,2016-03-31, , 
1611,14/454301,2014-08-07,9778628,2017-10-03
1612,15/326391,2015-07-14, , 
1613,15/188932,2016-06-21,9671777,2017-06-06
1614,14/883876,2015-10-15,9652213,2017-05-16
1615,14/663794,2015-03-20,9575797,2017-02-21
1616,15/152702,2016-05-12,9569615,2017-02-14
1617,13/941845,2013-07-15,9542509,2017-01-10
1618,15/134398,2016-04-21, , 
1619,14/047879,2013-10-07, , 
1620,14/433907,2013-02-19,9471789,2016-10-18
1621,15/034979,2014-11-06, , 
1622,14/327923,2014-07-10,9417904,2016-08-16
1623,14/917111,2013-11-14, , 
1624,14/211909,2014-03-14,9367683,2016-06-14
1625,14/606046,2015-01-27, , 
1626,13/837440,2013-03-15,9106413,2015-08-11
1627,13/993094,2010-12-16,9087181,2015-07-21
1628,13/563286,2012-07-31,9084281,2015-07-14
1629,14/590874,2015-01-06, , 
1630,13/878775,2010-10-15,8971872,2015-03-03
1631,13/553656,2012-07-19,8972988,2015-03-03
1632,13/951925,2013-07-26, , 
1633,14/252495,2014-04-14, , 
1634,13/887280,2013-05-04, , 
1635,14/323189,2014-07-03, , 
1636,13/469957,2012-05-11,8831926,2014-09-09
1637,12/954092,2010-11-24,8832165,2014-09-09
1638,13/599188,2012-08-30,8825974,2014-09-02
1639,14/177020,2014-02-10, , 
1640,13/106348,2011-05-12,8712744,2014-04-29
1641,13/067444,2011-06-01,8620005,2013-12-31
1642,13/974919,2013-08-23, , 
1643,13/826687,2013-03-14, , 
1644,12/809285,2008-12-10,8468522,2013-06-18
1645,12/163920,2008-06-27,8381123,2013-02-19
1646,12/578855,2009-10-14,8374840,2013-02-12
1647,13/043751,2011-03-09, , 
1648,12/915702,2010-10-29, , 
1649,12/804159,2010-07-15, , 
1650,13/026731,2011-02-14, , 
1651,12/708651,2010-02-19, , 
1652,11/941008,2007-11-15, , 
1653,10/299460,2002-11-19,7281248,2007-10-09
1654,10/874253,2004-06-24,7043381,2006-05-09
1655,10/247822,2002-09-20, , 
1656,08/117337,1993-09-03,6067607,2000-05-23
1657,08/649775,1996-05-15,5694599,1997-12-02
1658,05/774172,1977-03-03,4184151,1980-01-15
